tweet,label
dear whores don't tell me i can't dance when the only dancing you do is open your legs and shake your ass like a video ho to shitty rap,1
@trvvp these hoes got no chill,1
@skyereyes you a oreo cookie now,2
slide in your bitch dms like,1
i'll have these bitches havin baby's every week,1
@colinweis step up into the gauntlet bitch nuts i could use something to wipe my ass with,1
why can't i have colored eyes like my siblings,2
these hoes ain't loyal @arzysauced @itsnotharold man thats the realest shirt i seen tonight a chick with a flip phone robbed me,1
a ghetto girl's best bet is to find work at a call center and try to climb that corporate latter,2
i'll get so much pussy,1
yo bitch a freak fucked ha to sleep and dat was the last time i was slept on shit i woke ha up nd fucked ha again so she aint sleep long,1
@mayormcginn if racial minorities weren't criminally inclined they wouldn't have so much to worry about act your color race traitor!,0
@justkarahn negro please,1
"@kysportsradio for years two fan bases unc and indiana have said they do things ""the right way"" while uk and others are rogues my ho8230",2
@meeshdc how is it fucked up you fucking retard condemning ray rice yet supporting chris brown who's a women abuser that's logical,1
@tonydennis it's trash ik just wanted to fuck with dorsey,1
if a nigga is watching love and hiphop instead of the playoffs he gay denna bitch,1
"autocorrect makes my ""how's life"" change to hoes life what the duck",1
why do theteabaggers like this bald asshole complain about how long a bill is should we just draw you morons pictures morningjoe,1
i love bad bitches thats my fuckin problem forreal real shit i cant even help it,1
@briscoefunnyguy lol he still a lil bitch,1
"@tic14tac guys be like ""man fuck that bitch!"" but deep inside they miss that ""bitch"" still love that ""bitch"" amp want that ""bitch"" 8230",1
"i took 2 ""rebel vs yankee"" tests 40 questions accents word usage and scored a total of 475 rebel vs 525 yankee in southern pa",2
i got some lightskin pussy one time and the bitch damn near had me bout to propose,1
@dennisssbeauty @vivalazulema looked like princess bella in that yellow dress,2
surrender of divinity conquerors of the apocalypse via @youtube gtoriental black metal hell!,2
@kayliefarmer hey fuk them hoes they prolly already have it,1
@charlesbarrkley you need your ass whipped with a whip mr house nigger remember u will always b a nigger to them!,1
bitches and subtweets lml,1
how you settin' trends when you're rappin about wearing the same shit everyone else is wearin and rappin about this mixtape is trash yo,1
@grindingdude 13hours of hell obama flat out lied to get reelected killery ltwhat diff does it make now karma it's a bitch!,1
@einsteinparody waterproof lab coat in case i drown in the pussy swag,1
8220@tabathab never worried about the next bitch always worryin about the next meal i'm tryna fuckin eat fuck what you talkin bout8221,1
i need a bitch to go down like i need a beat,1
@caseykim12 your sole purpose is to make money otherwise you'd suggest violence prevention policies that actually work @piersmorgan,2
twitters little blue birds name is larry after celtics isu larry bird stick ticker is twtr,2
girl you eating more pussy then me girl you should have been a nigga,1
niggas wait in line for jordan releases puttin they life on the line jus to impress some bitches,1
@yaboymj23 for the real niggas fav for the bitch niggas,1
honestly it's enough bad bitches in the universe for everyone not including dykes,1
@mobute rick scott vs charlie crist is the worst gubernatorial election in america and it's the face of our ugly future,2
single colored man looking fo a single white woman fat ok i'm nigga,1
shoutout to everybody that follow a nicca!,1
@semajhoee 8220@tiffanyluxride damn so many fake niggas amp bitches8221,1
@ktpowers98 @wendydavistexas ha ha ha no good fat dyke,0
@mimisanabria i really did right off my bed where you put all these dam yellow starburst! throws them out the window,2
8220@eminoelle why you let these hoes tear what we had right apart8221,1
yes ugly bitch with the shitty platinum blonde skunk hair you did take cuts,1
i'm known around tampa as the ugly kid with no hoes,1
"@tbhjust ""what are you twelve"" yeah on a scale of one to ten bitch",1
bitch you're the ugliest cunt ever,0
@kylelewsader @trevaughnlg retweets the most random shit just cause a bad bitch tweeted it,1
we need to start having a fantasy team of ut hoes lol,1
almost half of north american bird species threatened by climate change climate environment,2
don't make me take yo bitch nigga,1
@iampikey i wonders why dare ain't no colored folk up dare,2
@cocakoula da bitch got scared and couldn't take it no mo but ya boy was feenin fo dat 8220@uceina koula noooooooo,1
@truenovacane they not gonn comment cause they in the closet hoes lol! team getchoassoutdatcloset lol,1
@valonfox13 not no but hell no when blk stop sayin nigger i will what they can have i can have this is america,0
@zeemonstaa there no such thing as too much pussy,1
"@collegefession ""guy tells me he doesn't eat pussy and all of the sudden i don't suck dick anymore"" centeral washington university",1
@tfcbooks friday 6pm @busboysandpoets vivek balk bengali harlem amp the lost histories of south asian america 8230 @8230,2
wake up american sheeple nd stop allowing these pussy azz politicians who never bust a gun in they8230,1
it's pretty much been confirmed that i have the best bitch face on the planet,1
i can't tell if i want to fuck you or if i want to slit your throat,1
"@yennnonay "" these hoes ain't loyal "" duhh bitch she a hoe !",1
if i were a kid todaymichelle obama's lunch would wind up in the trash can,2
@thebombshellll too many faithful girls are single and too many hoes are taken,1
no thanks lady you look like you just got off the white trash train i'd rather not catch a disease kthxbai,1
loyal pussy forever bein better than the bitch thats been passed around,1
@thatgirlran 8220if your 1516 act like your those ages not like your 20 its not cute8221 that awk moment when i thought this tweet was abo8230,2
i ignore birds,2
weed brownies gtgtgtgt,2
@hernandez719 ayy might as well get fat hoes don't even like abs nomo they like balla bellys,1
"is it just me or is hicks saying ""bung beds"" @ronandfezsxm",2
@thestrangelog nerf the hell out of birds they no longer attack you at long range lower damage don8217t follow you forever,2
@rhythmixx why you gotta hoe me like that,1
@sheswatspoppin js met a lil bitch wit a long name mufucka had more letters den tennessee i go gorilla ina pussy rip,1
@politibunny yeswedid attack harass threaten mock and bully any woman or minority who dared not fall in line with our progressive a8230,2
@liftingprobz if i had a dollar for every time i fucked ur bitch,1
@bosleyxavier i trip on acid not bitches,1
@brendanschaub @timtebow ugh your with tebow you're officially a fag now and in followed,1
@yooslim y'all virgo bitches gotta chill thinking y'all beyonc232,1
8220@bino looking at nip rings i can't wait until i can change mine 8221 lmao,2
@guapoaficionado kill em all at once i say 8220@pacdagoat the world will be a better place when bitches like her dies lonely,1
lil spook and yung lean and robb all night,2
"my bitch work for chic fil and she says this is not real b ""@dory to save a life",1
i think i'll have salad bar for lunch today gotta make up for the birthday brownies somehow lasthurrahthendietstarts,2
"posted a new song ""guala""",2
"@navy8r ""@sierra0559 hey @barackobama the jig is up even democrats are through with you reasontoexitanobamaspeech"" dems are raci8230",2
life is ya professor better know that bitch is gone test ya,1
in my opinion lhha is a spot on description of how some of atlanta is dumb hoes and niggas ratchet broads and stupid arguments,1
@korrect973 don't pay dem bitches and they dirty ass chucks no mind bro,1
@mcjaytee lol i already made it i'm waiting on my brownies to finish,2
one big lecture hall full of bitches in sequins limited too tank tops,1
when i step off in da club niggas give me daps and hugs hoes swinging dey eye ik one thing right they wanna fuck,1
@mrrepublicann chik fil a hipotle is trash and taco bell will give you the runs,2
@satanstongue you're not right for this job what why well your r233sum233 is just 'don't be a bitch dude' written on a napkin don't b8230,1
@makeupsex trash talked by many hated by some guess how many fucks i give its less than one,1
"@tupactaughtmeh ""@divamonroe2uhoe somebody find this bitch amp fuck her she ain't had no good dick fucking with this fat nigga",1
@lilgrim4dafame im just a average nigguh who chasin his money amp dreams while tryin stay out of trouble,1
im telling you man! @kfromtheg roethlisberger got his record expunged and became trash,2
cleanup bitch i just got off the phone with em!,1
@xtraxtralex i was disgusted betrayed hurt amp my pussy drier than a niggas skin in the winter time,1
@6thgrader today seems like as good a day as ever to bang some bitches and go for ice cream,1
@thomaskeneally obersturmfuhrer matthias my wife is a superb financial brian carry on with your labelling in her presence and see ho8230,2
i beg to differ on that lip bittin shit dis bitch bit my lip nd tried to suck my blood aint shit sexy about that,1
sheryl crow being the bae,2
8220@kyariesda4 ginobli dropping them bitches like a delta line8221 9996,1
@grvndbxrry i hate when bitches brag bout how they bf put it down then they single,1
makeup be saving alot of these bitches from being single,1
passing up on mad hoes just to give him what he want,1
no less than 3 bad bitches in my bed at a time,1
i'm flexin on these bitches all gold bottles no bombay,1
my nicca drake gear game is all bad lol,2
@daedeezyy ion ask nobody for shit ever never have a problem doing shit fa people neither but damn can a bitch get a thank you,1
@phatsyeo215 these bitches ain't real,1
"@mobilesuitkwamz just swing ""@muhfugginjkells ""that's why i fucked yo bitch"" i meanwhat can you say back to that""",1
@gezus you bitch come on you bitch you scared coward you not man enough to fuck with me you can't last two minutes in my world bitch,1
@younngmel fuck half the bitches at mount rainier i only fucks wit a few,1
@harrysboylouis @curveme i was laughing at a joke about 911 big different bitch,1
damnnnn when u unfollow ah bitch after fucking wit dey nigga dat make y'all feel some kind of way,1
@vadefisse dont try too fuck with me amp got a million and two bitches because i will tell them all i promise i will,1
i uploaded a @youtube video goproud makes money out of twinkie crisis in free market spirit,2
my phone acting retarded,1
i aint saying you a bitch but you be acting like a female dog,1
8220@salutemyrainbow 8220@thatkiduriah bitches be like messy bun,1
"""i know that shit eatin grin! you either just fucked the girl of your dreams or you sold a car we know you're a faggot what'd you sell""",1
@thefrogod dat shit trash 8220@complexmag a shirt inspired by @drake's emoji tattoo preorder now,1
"@gurujeremy hoes use the""it just happened"" excuse as a means to cope wit them being a ho they make it seem as if they had no control o8230",1
@brianabrazilian oh my phone is some trash! but you knew that!,2
iv decided to grow my hair i aint braiding it thostraight curls out dis bitch !,1
@trapmama @boobiejohnson so i could catch a round with half these pussies out here,1
@awill2reckless lmao omm you see the bitch tryna act like she ain't feel it ahaha,1
slay me lolz jk bitch i'll cut you emabiggestfans1d,1
"""@mrad 8220@dezdlt ""i play soccer cheat on girls and wear khaki coloured cargos"" haircut yes lmfao""@soccerboy04",2
i'm lactose and hoe nigga tolerant,1
don't fw sloppy hoes you might catch somethin,1
@thatniggakent already know juss ordered some of this for the weekend @ohhhkillem93 for tha white hoes,1
@darienbabyxoxo ya but you can't because its a real account dumb bitch i go to wams fucking bitch,1
"8220@mcdonavins a nigga who gets alot of bitches is not gonna value you like someone else would youre just ""another one"" lol8221 cut that out",1
@d69b idk it's trash though!,2
yeah hoe,1
"""two roads diverged in a yellow wood and i chose the one to j246tunheimr"" robert frost giant",2
@apevontarskin fuck u ugly ass bitch,1
bitches giving back rubs,1
@deiukesionai more like emily is a little twat,1
@marshallsots it's @jakeeye3 's favorite fucking jam! i haven't seen it but judging by there being a little girl in it it's probably trash,1
@stevstiffler can't trust a bitch who lets the microwave hit 0 she doesn't care about her lifeshe probably jumps on the lava part o8230,1
my car so wet my bitch so wet when i drive i car pool,1
@robdelaney girl i wanna rip my dick off and throw it at your pussy,1
seconds from the end what's it gonna be pull the trigger bitch,1
@bootygangcult some of you bitches aren8217t built to wear certain shit,1
charlie clips vs yung ill review,2
cant trust niggas when it come to bitches,0
have you noticed all the ghetto people naming their kids after cars mercedes8230 lexus8230 repossessed,2
i swear newnan utilities be gettin a nicca bout to start reading my own damn meter,1
taught ma lil niggah how to treat a girl,1
@liveanduncut when i say tainted i don't necessarily mean hoe or scandalous it could be a number of things,2
senator @tedcruz is an anchor baby! go back from where you came natural born canadian,0
if u remember when steve from 'blue clues' left us with that other bitch ass nigga joe,1
if this bitch don't turn crash in,1
wayne crazy new orleans ass nicca lol,1
"@chefpolio ""i don't send nudes"" a bitch wit trash nudes",1
mickeyblowsyourmind who wants to be a skype group with a bunch of offensive new york city queer folk me!,1
nowplaying the doors the wasp texas radio and the big beat on 1069thearrow,2
@thecheekyd hi yeah trolls are annoying but don't concern yourself with them they're all twats amp have no life lol just ignore them x,1
@thewoundgod son lmao @chefwaites i8217m gonna cry every time @wackproducer no bitches,1
@garcialaura lol my bad i forgot that hoe made ya sad,1
"you ever see bitches comment on a vine like ""oh my god that's me!"" knowin damn well she would neva do some shit like that lmfaaoo",1
happy friday bitches kimorablac,1
@lymmanny shit gettin money fuckin hoes uk how dat go lmaooooo,1
8220@jaystacks25 i might fuck around and fuck yo bitch 8221 eat her ass when your steal her so you'll be a real ass nigga,1
@idntwearcondoms u a hoe if you have children and you're still awake,1
was in kimball gym today boy if they had the carteramp kimball it that hoe it would've been stupid,1
young gem amp don chief been killing it in the yogoing in on that real musicno bubble gum trash in the booth,1
@bigdaddytise 8220@mrpopular bald headed bitches mad at me because they look like this don't blame me blame your parents bmb,1
@argenivee its kinda pathetic how these bitches on bgc be 21 amp be acting so childish af,1
ill fire that nina like its her first day on the job an the bitch over slept,1
@pushinuproses my current favorite line is shea moisture it's at target and cvs great for dry curly andor colored hair,2
@kingtunchi same bitches that diss me gone still be here to eat my dick when they see that check,1
@righteouz @growejr that bitch should be in jail for that 114114,1
i can't take you serious if you wear colored contacts,2
fat dykes make me want to vomit,0
lil kim really made herself trash smh,2
i hate those kids in your class that are always complaining and just being a bitchdouche to the teacher,1
@section90ssoul yall defense too trash for that,2
if yo nigga catch you cheating and beat yo ass in front yo lil yeah and lil yeah don't help you still give him pussy ladies,1
8220@coleycee @lilaerii @yhanaaaa @dthang lmfaoooo bitch don't start8221 okay bitch,1
mom really came in and found anything possible to bitch about,1
@whiteangelss84 y dont u end us monkeys then u hate us because were better than crackers amp i love it deep down u know weve done nothin 2 u,0
@nick504 fuck what a nigga gonna do i wanna see it and tell that nigga to stop acting like a bitch then,1
girl don't hide that pussy you should be the type to provide that pussy,1
@alaysiamichelle i just wanna get filthy rich amp have a nice big house full of bad bitches that i could fuck anytime i want,1
when bitches change and start acting like the nigga they with ltltltltltlt,1
@commonwhitegiri hiding your favorite snacks from your family bc you're a selfish bitch,1
@gmbace lame bitches always wanna try 2 play a real nigga like a lame bitch das how u get treated n cut loose9995,1
@icbcworld214 @freeblizzicbc bitch bought her son some talking bout i had to get em before they sold out,1
@grinand btw happy birthday charlie! get better soon!,2
@bonitakayla all bitches wanna do is beef over niggas grow tf up a get ya priorities straight,1
get cunts to threaten me not bothered i'd happily hit up a big massive group ae third years or something hahaha dropkickkk,1
all these bad bitches man they want the,1
i show do like the jeffersons dat george make me wanna open up a dry cleaning stow and call all da white folk honkey,2
@lebronvuitton ha she got them bitches worked on,1
@isaidthatshit lmfaoooooooooooooooo @2chainzlyrics put that muthafuckin jelly on that bread bitch spread it,1
come on man @basedlarock oreo needs to chill @thedondrew you know about these @premiumpete good or nah,2
i think you've made it clear that these hoes ain't loyal,1
i have them bitches runnin wen dat pipe come damn,1
@tinytino842 @triple6em96 i call all women bitches get over it,1
@chanelisabeth @emmasayshai icanhashtaghoweveriwant bitch,1
don't no nigga want an artificial bitch let me repeat that not one !,1
@i2ose is it full of niggers,1
i'm so sick of u niggers,0
i fuck alien bitches demon and angel bitches a couple of centaur bitches got really drunk and fucked a dragon chick a couple timesughhh,1
""" i spend my money how i want bitch its my business """,1
@specialed24 gotta turn the hoe into housewife,1
@mattsimonson oomfs teeth are quite yellow @wbdyllon,2
@ibepocahontas bitch we shot a music video,1
@mabelsay hoes be calling hoes hoes when they know they just as much of a hoe as the other hoe they calling a hoe,1
@bugattibeez pussy still taste like mcdonald's fries @boosierene i eat pineapples everyday they so good,1
@kaeejones the bird gone run from your ass,1
ion like doll face hoes,1
@jennymccarthy don't let idiots that can't even spell retarded get you down,1
blatt trash too but twitter said he was good,1
been huntin hard and finally nailed her best wedding koozie i've ever seen redneck,2
eat a dick bitch,1
@nochillpaz when a bitch says you're broke,1
ion speak on how flaw niggas and thirsty hoes be on ig but boyyyyyy look at here,0
the streets a dirty hoe niggad try to wife it though,1
@theonemissluu no he's an asshole amp is like i have neck problems amp can't sleep that way u lil bitch,1
completely off topic idgaf about that pretty hoe tho,1
switcharoo on yo main bitch me and my niggga hell naw we don't date hoes,1
@savannahx negative slopes aka a chart of my grades in math,2
lmao! @humonthese harden look like the last air bender out this bitch,1
this is fucked up lmao whore bitch which one are you cheaters better go to maaco dead,1
sometimes i feel like being really nice to everyone then i'm just like wait you're all bitches anyway soooo,1
"""i dont even need a picture of tamar that bitch is beat in every picture""",1
"""@blackman38tide @whalelookyhere @howdydowdy11 queer"" gaywad",0
sneaky hoes,1
i wish young thug made past me the hookah and kept garbage ass tyga out that bitch,1
deez niggas pussy so fuck em deez niggas ass so buss em,1
8220@fukkntyler @lilaerii lightskin mf lmfaooo8221 ight white bitch lol,1
done for the yankees,2
@yungugiy just because i think you're fine don't mean i want you you appealing to my eyes not my heart bitch,1
if a bitch annoying she getting left,1
"""@youngricooo 8220@wexicanafro702 don't take advantage of a nice person8221@ hoes""@ everyjuan",1
@afboycie @brocklesnar ill fight you ! ya big daft cunt,1
fucked up when a freak hoe tell you ya posed to be homeboy was pillow talking too fukniccas,1
smh ampamp its not bitches its bitch ass niggahs,1
@souljaboy ain't got time for stupid bitches,1
8220@unbearabletier i ate oomf pussy8221 @ her,1
@tupactopus bad bitches get in free night at weenie hut jrs,1
twice divorced teabagger florida attorney general says marriage is reserved for 'stable enduring family units',2
@kinglekan90210 i forgive all u hoesgirls,1
this hoe got a gf but complain about life like is she hitting you right,1
trending 2 adult human skulls found in trash in connecticut,2
@dawngoodspeed honestly i kind of get offended when people ask me if my eyelashes are fake fake eyelashes aren't this long bitches 9995,1
ima pull up eat on that pussy and dip,1
@baabyshaay okaaaaay bitch never do we care edges still laid,1
@loganwarner12 these hoes ain't loyal,1
@niggasblike when the nigga with the aux cord playin some trash shit,1
@bracefacetay tell them bitches i'll always be your mrs,1
@tylar bet hoe,1
@coreykeyz when you find out your bae is a hoe,1
morning terror read 99 of the ocean's trash is gone and no one knows where it went 8594,2
only the strong survive and you niggas is bitches,1
8220@kingdakkar these hoes out of control,1
bobby bitchgthot nigga,1
she give away that pussy like loose change,1
@barbod6fcb u lame then a bitch get the fuck with that gay shit,1
"""roberto you are one nasty hoe""",1
@jmacau @brocklesnitch at least that one dude had the guts to @ me if you don't like my opinion qquit being a bitch and keep scrolling,1
@bijoudulcet y'all some bitches @nbc,1
and vice versa @kimchanel 910 he has hoes,1
lmaoooo nah i'm down here turning up @4tr0n3 yah not gonna believe this but @itsnotharold being a bitch in bg being a bitch,1
@headsyoulose i'll write a poem for u hoe,1
@mckinley719 oh you spelled give wrong psh thought i'd be a bitch,1
@hurricanedame i never understood that whole pissin on a bitch trend that was going roundi like my bitches clean mayne,1
@girlposts i hate when netflix stop amp asks if im still watchin like yes u think i got up amp started doin somethin with my life bitch put8230,1
@thatboyking all you hoes wake up,1
@lilnthebasedgod her face ugly to me amp her nudes were trash,2
@alexrice wow your like 3 years late bitch,1
@chillnigga i can't be in my twenties stressing over a bitch who playin games i'm straight lol,1
happy birthday to literally the craziest bitch i know @jdellasperanza i'm so happy i'm related to u,1
@neomd71 bizarre sports week in cle @browns win a game that felt like a lossfailed exbrowns qb's duel each other and @cavs lose ho8230,2
smh @uglyhxes tyga shoulda knew blacc chyna was a hoe when his son crip walked out her pussy,0
@eemoneee i wish a bitch would tell me something that i don't know about my nigga girlboo,1
@b0ss561 just beat the pussy up,1
quit hoggin the blunt bitch,1
what kind of bitch ass throw was that alex fuck,1
@thevinenation when you in a public place and ya side hoes come outta no where,1
turnt up with yo bitch in a house party,1
8220@greatscottnyc can't a bitch living say i brought her michael kors8221 we need more guys like you,1
@giannarromano fuckin moulinyan,1
that bitch flawless af,1
frustration can be a bitch !,2
pull up on my x make that bitch mad,1
aint this a bitch i just saw my bitch kiss a bitch you lucky i dont kill yo ass but you can still get pistol whipped wayne,1
8220@iank12 @ajdougherty13 no you homo8221 sorry i can't be straight like you and pull mad bitches,1
@rtamerica us army removes 8216negro8217 as official reference to black people after public outrage,1
never trust a bitch cause these bitches fuckin' anyone say you know a faithful bitch where she at i gotta get me one,1
"@kingsgroove 8220@shanea1 @kingsgroove nicca said ""imma slap ya daddy out den put em n da yo"" he still that nigga when he aint s8230",1
bbl gonna go sob over gay bird babies,1
@prihncess fuck you bitch,1
check his hoe for i check her,1
repeat after me where my bitches,1
how's this bitch wearing high heals right now,1
since a youngin bitch we been them niggas,1
@inkmyholebody this nigga is a fuckin faggot,0
@kittyhello14 bitch i ain't arguing with you fuk on! you said some slick shit n i addressed it simple,1
@noworriezzzz don't lie to me bitch i'm giving you my heart,1
@joebudden cuz soon as u start doing the wackcute shit w a hoe she8217s your girl8230 really,1
well damn @jackthejokster when ya side hoe claims you as her boyfriend,1
"@realniggasherm ""@1stblocjeremiah @realniggasherm you home niggaz in that bitch was some hoes yaknow"" yazz i gotta do applewood n shit",1
@maxicat charlie rangel rewrites history on gop 8220they think they won the civil war8221,2
bitch ass arod or shorty dont hit me back up,1
that principal shld be ashamed 'look at these poor colored kids who we made smart' they are not your props disgusted morningjoe,2
8220@jennahord12 @ambernicolee05 dreamgirl mckee 8221ooh! bet you wooonnnttt stick dat hoe,1
paige better text a bitch lol,1
meet india8217s amazing deathdefying monkey king 8594,2
@capotoheaven niggas will cheat and not even know that bitch name that shit aint cheating,1
@wodaeeex3 @keonamoore nun of ya bidness bitch,1
